,Word,Count
1698,staying,12
1699,🍵,12
1700,hybrids,12
1701,luck,11
1702,delete,11
1703,bunny,11
1704,lidl,11
1705,IT,11
1706,bitch,11
1707,moving,11
1708,"know,",11
1709,advice,11
1710,rn:,11
1711,3d,11
1712,opening,11
1713,win,11
1714,id,11
1715,threw,11
1716,match,11
1717,office,11
1718,confusing,11
1719,hype,11
1720,noticed,11
1721,"is,",11
1722,😬😬😬😬,11
1723,babeys,11
1724,lOl,11
1725,sit,11
1726,collect,11
1727,somebody,11
1728,asks,11
1729,charge,11
1730,deal,11
1731,rezero,11
1732,nose,11
1733,fit,11
1734,strong,11
1735,"kno,",11
1736,kanon,11
1737,teachers,11
1738,justice,11
1739,lady,11
1740,planning,11
1741,biology,11
1742,p,11
1743,grade,11
1744,blue,11
1745,colour,11
1746,automatically,11
1747,tastes,11
1748,;)),11
1749,;),11
1750,options,11
1751,episodes,11
1752,grandads,11
1753,Japanese,11
1754,sayo,11
1755,lazy,11
1756,26,11
1757,pedo,11
1758,window,11
1759,passed,11
1760,doubt,11
1761,10/10,11
1762,drums,11
1763,weed,11
1764,covalent,11
1765,solid,11
1766,chicken,11
1767,small,11
1768,mentally,11
1769,"girl,",11
1770,s3,11
1771,2nd,11
1772,table,11
1773,Thomas,11
1774,"see,",11
1775,fate,11
1776,duck,11
1777,important,11
1778,present,11
1779,ideas,11
1780,empty,11
1781,YES,11
1782,accidentally,11
1783,losing,11
1784,24/7,11
1785,chords,11
1786,girl:,11
1787,neighbours,11
1788,manga,11
1789,AAAAA,11
1790,essay,11
1791,tier,11
1792,arms,11
1793,ain't,11
1794,N,11
1795,doesnt,11
1796,met,11
1797,example,11
1798,ohhh,11
1799,"work,",11
1800,stoopid,11
1801,daddy,11
1802,documentary,11
1803,ears,11
1804,movie,11
1805,car,11
1806,chance,11
