0,0,0
Leon,09/07/2020,ye
Leon,09/07/2020,ur a mistake /s
Leon,09/07/2020,o
Leon,09/07/2020,uh
Leon,09/07/2020,celeste is on my island
Leon,09/07/2020,idk if i'm serious tbh or if i just saw ghost celeste cos i'm on my other account now and i have spent 10 minutes tryna find her again
Leon,09/07/2020,ye xdd
Leon,09/07/2020,maybe she's in the museum with her oppa
Leon,09/07/2020,wow
Leon,09/07/2020,i literally can't find her
Leon,09/07/2020,she's probably behind a cliff or something
Leon,09/07/2020,but i cbb
Leon,09/07/2020,well I guess you've went to sleep already?
Leon,09/07/2020,so goodnight xd
Leon,09/07/2020,I'm sleeping in a bit too
Leon,09/07/2020,kristii why u dead
Leon,09/07/2020,if it's cos i said u were a mistake last night then sorry I'll stop making those kind of jokes if u don't like it
Leon,09/07/2020,o
Leon,09/07/2020,o ok lol
Leon,09/07/2020,u should learn the accordion thing
Leon,09/07/2020,where u like flip cards from one hand and then they go to ur other hand
Leon,09/07/2020,lmao imagine an app where u have to save every single message
Leon,09/07/2020,
Leon,09/07/2020,tf
Leon,09/07/2020,it's meant to be a gif
Leon,09/07/2020,bruh
Leon,09/07/2020,https://youtu.be/ZDCLxz3wh9U
Leon,09/07/2020,YouTube
Leon,09/07/2020,Mike Boyd
Leon,09/07/2020,Learn to Card Spring ft Chris Ramsay
Leon,09/07/2020,
Leon,09/07/2020,here's Mike Boyd learning it
Leon,09/07/2020,he learns lots of little party tricks
Leon,09/07/2020,ye
Leon,09/07/2020,ur pretty cool :sunglasses:
Leon,09/07/2020,o lol
Leon,09/07/2020,do u want some hi quality cards for ur bday
Leon,09/07/2020,I was gonna get u smth else but I can just do that for Christmas
Leon,09/07/2020,o
Leon,09/07/2020,ok xdd
Leon,09/07/2020,yea
Leon,09/07/2020,my question still stands tho
Leon,09/07/2020,are charity shops even open atm
Leon,09/07/2020,o lol
Leon,09/07/2020,online xd
Leon,09/07/2020,ye but u can get like high quality cards online
Leon,09/07/2020,and they'll probably last 10x longer than £1
Leon,09/07/2020,oic
Leon,09/07/2020,o xdd
Leon,09/07/2020,nice lmao :clap:
Leon,09/07/2020,kristii
Leon,09/07/2020,wanna play mc today
Leon,09/07/2020,o ok lol
Leon,09/07/2020,o lol
Leon,09/07/2020,well just lmk if u wanna play
Leon,09/07/2020,also kristi
Leon,09/07/2020,ur gay
Leon,09/07/2020,:)
Leon,09/07/2020,no u
Leon,09/07/2020,hows ur cards going xd
Leon,09/07/2020,bruh i'm so bad at osu >:(
Leon,09/07/2020,wow i'm watching the stream of some guy on thom's server we used to play league with
Leon,09/07/2020,
Leon,09/07/2020,and he's a gamer girl now xddd
Leon,09/07/2020,https://img-9gag-fun.9cache.com/photo/aj99xyq_460svvp9.webm
Leon,09/07/2020,o
Leon,09/07/2020,xdddd
Leon,09/07/2020,how lol
Leon,09/07/2020,from shuffling cards? xd
Leon,09/07/2020,o
Leon,09/07/2020,lmaoo
Leon,09/07/2020,also bruh ur notifications really do be ded
Leon,09/07/2020,O
Leon,09/07/2020,:((
Leon,09/07/2020,xddd
Leon,09/07/2020,https://www.youtube.com/watch?v=36q4Ze0kFu8
Leon,09/07/2020,YouTube
Leon,09/07/2020,Geosquare
Leon,09/07/2020,The Quest for the Tallest Cactus in Minecraft
Leon,09/07/2020,
Leon,09/07/2020,lmao
Leon,09/07/2020,fueee
Leon,09/07/2020,o lmaoo i've seen the expose burn out one
Leon,10/07/2020,ye i did xdddd
Leon,10/07/2020,also do u think i should make a great white shark statue or sell them
Leon,10/07/2020,cos i got 4 of them today
